date,hits,keyword,geo,time,gprop,category
2020-10-25T00:00:00Z,8,forzanuovaroma,IT,2020-01-01 2022-02-28,web,0
2021-10-10T00:00:00Z,20,forzanuovaroma,IT,2020-01-01 2022-02-28,web,0
2021-10-10T00:00:00Z,40,fioreforzanuova,IT,2020-01-01 2022-02-28,web,0
2021-10-10T00:00:00Z,39,castellinoforzanuova,IT,2020-01-01 2022-02-28,web,0
2021-10-10T00:00:00Z,9,forzanuovacasapound,IT,2020-01-01 2022-02-28,web,0
2020-01-05T00:00:00Z,11,casapound,IT,2020-01-01 2022-02-28,web,0
2020-01-12T00:00:00Z,10,casapound,IT,2020-01-01 2022-02-28,web,0
2020-01-19T00:00:00Z,8,casapound,IT,2020-01-01 2022-02-28,web,0
2020-01-26T00:00:00Z,9,casapound,IT,2020-01-01 2022-02-28,web,0
2020-02-02T00:00:00Z,8,casapound,IT,2020-01-01 2022-02-28,web,0
2020-02-09T00:00:00Z,11,casapound,IT,2020-01-01 2022-02-28,web,0
2020-02-16T00:00:00Z,9,casapound,IT,2020-01-01 2022-02-28,web,0
2020-02-23T00:00:00Z,7,casapound,IT,2020-01-01 2022-02-28,web,0
2020-03-01T00:00:00Z,8,casapound,IT,2020-01-01 2022-02-28,web,0
2020-03-08T00:00:00Z,6,casapound,IT,2020-01-01 2022-02-28,web,0
2020-03-22T00:00:00Z,9,casapound,IT,2020-01-01 2022-02-28,web,0
2020-03-29T00:00:00Z,8,casapound,IT,2020-01-01 2022-02-28,web,0
2020-04-05T00:00:00Z,9,casapound,IT,2020-01-01 2022-02-28,web,0
2020-04-12T00:00:00Z,10,casapound,IT,2020-01-01 2022-02-28,web,0
2020-04-19T00:00:00Z,13,casapound,IT,2020-01-01 2022-02-28,web,0
2020-04-26T00:00:00Z,15,casapound,IT,2020-01-01 2022-02-28,web,0
2020-05-03T00:00:00Z,8,casapound,IT,2020-01-01 2022-02-28,web,0
2020-05-10T00:00:00Z,13,casapound,IT,2020-01-01 2022-02-28,web,0
2020-05-17T00:00:00Z,14,casapound,IT,2020-01-01 2022-02-28,web,0
